#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Symbol,Date_datetime
1624,Ribbon,New York City,USA,North America,170.0,2022-11-14,85.0,200.0,30.0,Real Estate,Series C,$405,2022,40.71427,-74.00597,RBBN,2022-11-14
1621,Illumina,San Diego,USA,North America,500.0,2022-11-14,5.0,10000.0,9500.0,Healthcare,Post-IPO,$28,2022,32.71571,-117.16472,ILMN,2022-11-14
1602,Asana,San Francisco Bay Area,USA,North America,180.0,2022-11-15,9.0,2000.0,1820.0,Other,Post-IPO,$453,2022,37.77493,-122.41942,ASAN,2022-11-15
1601,UiPath,New York City,USA,North America,241.0,2022-11-15,6.0,4017.0,3776.0,Data,Post-IPO,,2022,40.71427,-74.00597,PATH,2022-11-15
1587,Cisco,San Francisco Bay Area,USA,North America,4100.0,2022-11-16,5.0,82000.0,77900.0,Infrastructure,Post-IPO,$2,2022,37.33939,-121.89496,CSCO,2022-11-16
1586,Amazon,Seattle,USA,North America,10000.0,2022-11-16,3.0,333333.0,323333.0,Retail,Post-IPO,$108,2022,47.60621,-122.33207,AMZN,2022-11-16
1574,Roku,San Francisco Bay Area,USA,North America,200.0,2022-11-17,7.0,2857.0,2657.0,Media,Post-IPO,$208,2022,37.33939,-121.89496,ROKU,2022-11-17
1564,Carvana,Phoenix,USA,North America,1500.0,2022-11-18,8.0,18750.0,17250.0,Transportation,Post-IPO,$1600,2022,33.44838,-112.07404,CVNA,2022-11-18
1502,Wonder,New York City,USA,North America,130.0,2022-11-30,7.0,1857.0,1727.0,Food,Series B,$850,2022,40.71427,-74.00597,LNW,2022-11-30
1461,BuzzFeed,New York City,USA,North America,180.0,2022-12-06,12.0,1500.0,1320.0,Media,Post-IPO,$696,2022,40.71427,-74.00597,BZFD,2022-12-06
1459,Doma,San Francisco Bay Area,USA,North America,515.0,2022-12-06,40.0,1288.0,773.0,Finance,Post-IPO,$679,2022,37.77493,-122.41942,DOMA,2022-12-06
1453,Lev,New York City,USA,North America,30.0,2022-12-07,30.0,100.0,70.0,Real Estate,Series B,$114,2022,40.71427,-74.00597,LEVI,2022-12-07
1450,Integral Ad Science,New York City,USA,North America,120.0,2022-12-07,13.0,923.0,803.0,Marketing,Acquired,$116,2022,40.71427,-74.00597,IAS,2022-12-07
1430,BlackLine,Los Angeles,USA,North America,95.0,2022-12-08,5.0,1900.0,1805.0,Finance,Private Equity …,$220,2022,34.05223,-118.24368,BL,2022-12-08
1433,TechTarget,Boston,USA,North America,60.0,2022-12-08,5.0,1200.0,1140.0,Marketing,Post-IPO,$115,2022,42.35843,-71.05977,TTGT,2022-12-08
1403,Edgio,Phoenix,USA,North America,95.0,2022-12-13,10.0,950.0,855.0,Infrastructure,Post-IPO,$462,2022,33.44838,-112.07404,EGIO,2022-12-13
1392,Freshworks,San Francisco Bay Area,USA,North America,90.0,2022-12-15,2.0,4500.0,4410.0,Support,Post-IPO,$484,2022,37.56299,-122.32553,FRSH,2022-12-15
1391,BigCommerce,Austin,USA,North America,180.0,2022-12-15,13.0,1385.0,1205.0,Retail,Post-IPO,$224,2022,30.26715,-97.74306,BIGC,2022-12-15
1359,Micron,Boise,USA,North America,4800.0,2023-01-01,10.0,48000.0,43200.0,Hardware,Post-IPO,$50,2023,43.6135,-116.20345,MU,2023-01-01
1349,Kaltura,New York City,USA,North America,75.0,2023-01-04,11.0,682.0,607.0,Media,Post-IPO,$166,2023,40.71427,-74.00597,KLTR,2023-01-04
1346,Amazon,Seattle,USA,North America,8000.0,2023-01-04,2.0,400000.0,392000.0,Retail,Post-IPO,$108,2023,47.60621,-122.33207,AMZN,2023-01-04
1331,SoundHound,San Francisco Bay Area,USA,North America,200.0,2023-01-05,50.0,400.0,200.0,Other,Post-IPO,$326,2023,37.35411,-121.95524,SOUN,2023-01-05
1314,Fate Therapeutics,San Diego,USA,North America,315.0,2023-01-09,57.0,553.0,238.0,Healthcare,Post-IPO,,2023,32.71571,-117.16472,FATE,2023-01-09
1297,Blend,San Francisco Bay Area,USA,North America,340.0,2023-01-10,28.0,1214.0,874.0,Finance,Post-IPO,$665,2023,37.77493,-122.41942,BLND,2023-01-10
1295,Coinbase,San Francisco Bay Area,USA,North America,950.0,2023-01-10,20.0,4750.0,3800.0,Crypto,Post-IPO,$549,2023,37.77493,-122.41942,COIN,2023-01-10
1271,Lattice,San Francisco Bay Area,USA,North America,105.0,2023-01-12,15.0,700.0,595.0,HR,Series F,$328,2023,37.77493,-122.41942,LSCC,2023-01-12
1229,Unity,San Francisco Bay Area,USA,North America,284.0,2023-01-17,3.0,9467.0,9183.0,Other,Post-IPO,$1300,2023,37.77493,-122.41942,U,2023-01-17
1211,Inspirato,Denver,USA,North America,109.0,2023-01-18,12.0,908.0,799.0,Travel,Post-IPO,$179,2023,39.73915,-104.9847,ISPO,2023-01-18
1208,8x8,San Francisco Bay Area,USA,North America,155.0,2023-01-18,7.0,2214.0,2059.0,Support,Post-IPO,$253,2023,37.28717,-121.9499,EGHT,2023-01-18
1207,Vroom,New York City,USA,North America,275.0,2023-01-18,20.0,1375.0,1100.0,Transportation,Post-IPO,,2023,40.71427,-74.00597,VRM,2023-01-18
1206,Teladoc Health,New York City,USA,North America,300.0,2023-01-18,6.0,5000.0,4700.0,Healthcare,Post-IPO,$172,2023,40.71427,-74.00597,TDOC,2023-01-18
